str_no_string|NO STRING!
str_npc16_payment|Nun, das sind gute Nachrichten, Hauptmann. Also, wie wäre es mit einer kleinen Zahlung, um unser Abkommen zu besiegeln? {reg3} würden schon ausreichen. Versteht mich bitte nicht falsch, aber ich habe in der Vergangenheit etwas Pech mit Arbeitgebern gehabt.
str_npc1_payment_response|Nun gut, hier sind {reg3} Dinare. Nun, schließt Euch den anderen an.
str_npc2_payment_response|.
str_npc3_payment_response|.
str_npc4_payment_response|Selbstverständlich. Hier sind {reg3} Dinare.
str_npc5_payment_response|Nun ... hier sind {reg3} Dinare. Eure erste Zahlung.
str_npc6_payment_response|.
str_npc7_payment_response|Nein, freilich nicht. Hier sind {reg3} Dinare.
str_npc8_payment_response|Oh, ich bin kein Armenhäusler, meine Dame. Hier sind {reg3} Dinare für Euch.
str_npc9_payment_response|Nun gut, hier sind {reg3} Dinare.
str_npc10_payment_response|Natürlich. Hier, {reg3} Dinare.
str_npc11_payment_response|Nun gut, hier sind {reg3} Dinare. Macht Euch bereit. Wir reiten bald.
str_npc12_payment_response|.
str_npc13_payment_response|Natürlich, hier sind {reg3} Dinare. Macht Euch bereit, wir reiten bald los.
str_npc14_payment_response|Also gut, hier sind {reg3} Dinare. Ihr seid höchst willkommen in unserer Kompanie.
str_npc15_payment_response|Also gut, hier sind {reg3} Dinare. Sehr erfreut, Euch bei uns zu haben.
str_npc16_payment_response|Also gut, hier sind {reg3} Dinare für Euch. Macht Euch bereit.
str_npc1_morality_speech|Äh – Herr. Bitte versteht mich nicht falsch, aber das Leben ist hart, und es ist wirklich etwas starker Tobak, dass wir {s21}. Seid in Zukunft etwas vorsichtiger, Hauptmann, wenn ich das so sagen darf.
str_npc2_morality_speech|Ich hoffe, ich darf das so sagen, aber es ist etwas hart für mich, zu sehen, wie wir {s21}. Vielleicht sollte ich mehr versuchen, ein abgebrühter Soldat zu sein, aber wenn wir gelegentlich etwas Gnade walten lassen könnten, würde ich besser schlafen.
str_npc3_morality_speech|Vielleicht steht es mir nicht zu, es zu sagen, {mein Herr/meine Dame}, aber ich gebe zu, dass ich leicht geschockt bin, dass wir {s21}. Natürlich weiß ich, dass Krieg grausam ist, aber man muss ihn nicht grausamer machen als notwendig.
str_npc4_morality_speech|Bitte um Vergebung -- nur dass Ihr es wisst, die Männer des Hauses von Rolf sehen es nicht gern, wie wir {s21}. Ich werde nicht amüsiert sein, wenn Ihr diesen Kurs beibehaltet.
str_npc5_morality_speech|Verzeiht mir, Hauptmann. Es ist nicht gut, dass wir {s21}. Eure erste Pflicht ist den Männern gegenüber, die Euer Salz genommen haben. Das Mindeste, was sie erwarten können, ist Kost, Sold, Plündergelegenheiten, und dass Ihr ihre Leben nicht unnötig aufs Spiel setzt.
str_npc6_morality_speech|Verzeiht, {mein Herr/meine Dame}. Wie Ihr wisst, schloss ich mich Euch an, um Unrechte zu rächen, Unschuldige zu beschützen, und meine Sünden zu büßen. Ich erwartete nicht, dass wir {s21}.
str_npc7_morality_speech|Hauptmann -- ich mag nicht, dass wir {s21}. Das sind die Handlungen eines gewöhnlichen Banditenhauptmanns ohne Respekt für seine Gefolgschaft.
str_npc8_morality_speech|Ich war nicht erfreut, als Ihr befahlt, dass wir {s21}. Im Kampf zu fallen ist eine Ehre, aber unter der Führung eines Feiglings zu kämpfen ist eine Schande.
str_npc9_morality_speech|{Mein Herr/Meine Dame} -- ich mag nicht {s21}. Die Männer meines Hauses akzeptieren den Tod, aber nicht Ehrlosigkeit. Ich bitte Euch, ich will mich nicht schämen müssen, unter Euch zu dienen.
str_npc10_morality_speech|Bitte um Verzeihung, Hauptmann. Ich bin nicht sehr glücklich, dass wir {s21}. Das sind bloß einfache Leute, die versuchen, ihren Lebensunterhalt zu bestreiten. Wenn wir die armen Schweine etwas gnädiger behandeln könnten, Hauptmann, würde ich mich viel besser fühlen.
str_npc11_morality_speech|Verzeiht, Hauptmann. Es ist nicht gut, dass wir {s21}. Seit für 30 Jahren folge ich Armeen und Kriegstruppen, und das Mindeste, was die Soldaten von einem Anführer erwarten können, ist Kost, Sold, und dass er sein Bestes tut, ihr Fell in einem Stück zu lassen.
str_npc12_morality_speech|Hauptmann -- ich mag nicht, dass wir {s21}. Ich bin bereit, ein Krieger zu sein, aber kein Brigant. Lasst uns doch, ich bitte Euch, etwas mehr Mitgefühl zeigen.
str_npc13_morality_speech|Hauptmann, wenn wir es vermeiden können, würde ich lieber nicht {s21}. Calradia ist ein kleiner Ort, und der Ruf ist wichtig. Ich würde es nicht schätzen, wenn einer meiner Rivalen diesen letzten unglücklichen Vorfall in einem satirischen Vers verewigte.
str_npc14_morality_speech|Ehrlos sind die, die {s21}. Niemand mit dem Ruch der Feigheit wird von seinen Männern gebührend gefürchtet.
str_npc15_morality_speech|{Mein Herr/Meine Dame} -- nur dass Ihr meine Meinung wisst: Kein Kommandant mit etwas Grips lässt seine Kompanie {s21}. Ich hoffe, Ihr vergebt mir, so offen zu sprechen.
str_npc16_morality_speech|Hauptmann. Ich mag nicht {s21}. So viele Kehlen nicht durchschnitten, so viele Geldbeutel unerforscht ...
str_npc1_2ary_morality_speech|Herr -- nur, damit Ihr's wisst, es ist mir recht, wenn wir {s21}. Überleben, um am nächsten Tag weiter zu kämpfen, ist eine gute Sache.
str_npc2_2ary_morality_speech|{Mein Herr/Meine Dame} -- ich bin nicht so ganz glücklich damit, dass wir {s21}. Ich bin ein Kaufmann, und in unserem Geschäft ist man an sein Wort gebunden. Ich wünsche nicht der Unehrenhaftigkeit bezichtigt werden -- das wäre mein Ende als Händler, {mein Herr/meine Dame}.
str_npc3_2ary_morality_speech|{Mein Herr/Meine Dame} -- ich finde, es war tapfer, zu entscheiden, dass wir {s21}. Es ist keine Schande, Blutvergießen zu vermeiden .
str_npc4_2ary_morality_speech|Bitte um Vergebung -- egal, was andere sagen mögen, ich finde es in Ordnung, dass wir {s21}. Ihr solltet jede nur erdenkliche List anwenden, um in diesen schwierigen Zeiten zu überleben.
str_npc5_2ary_morality_speech|[No secondary moral code]
str_npc6_2ary_morality_speech|{Mein Herr/Meine Dame} -- Ihr mögt {s21}, aber ich werde lieber nicht daran teilhaben. Das ist nicht der Weg zu meiner Erlösung.
str_npc7_2ary_morality_speech|[No secondary moral code]
str_npc8_2ary_morality_speech|[No secondary moral code]
str_npc9_2ary_morality_speech|Hauptmann, ich bin bestürzt, dass Ihr {s21}. {Ehrenmänner/Ehrbare Damen} wie Ihr solltet zu jeder Zeit nur die allerhöchsten Ehrenstandards an den Tag legen.
str_npc10_2ary_morality_speech|{Bruder/Schwester} -- ich kann nicht behaupten, erfreut zu sein, dass wir {s21}. Behandelt Eure Männer gut, und sie zahlen es Euch mit hohen Zinsen zurück.
str_npc11_2ary_morality_speech|[No secondary moral code]
str_npc12_2ary_morality_speech|[No secondary moral code]
str_npc13_2ary_morality_speech|[No secondary moral code]
str_npc14_2ary_morality_speech|Hauptmann -- es sollte Euch nicht wurmen, dass wir {s21}. Armeen sind Werkzeuge ihrer Anführer, und Drangsal ist Teil des Soldatenlebens.
str_npc15_2ary_morality_speech|Wisset, Freund {playername}, es nicht sehr beruhigend, zu sehen, wie wir {s21}. Wenn Ihr Euer Wort ihnen gegenüber brechen könnt, könnt Ihr es auch mir antun, denke ich mir.
str_npc16_2ary_morality_speech|Hauptmann -- nur, damit Ihr's wisst, ich bin einverstanden damit, dass wir {s21}. Wir führen Krieg, um zu leben, und sie würden uns dasselbe antun, steckten sie in unseren Stiefeln.
str_npc1_personalityclash_speech|Hauptmann -- nichts für ungut, aber ich habe die Nase voll von {s11}, die sich aufführt, als sei sie besser als Eurer ergebener Diener Borcha.
str_npc2_personalityclash_speech|{Mein Herr/Meine Dame} -- wie Ihr Euch erinnert, war ich ein Kaufmann, bevor ich bei Euch unterschrieb. Ich respektiere Männer, die ihr Brot friedvoll verdienen und alles riskieren, um Waren in weit entlegene Länder zu bringen.
str_npc3_personalityclash_speech|Hauptmann -- meiner Meinung nach ist {s11} ein harter und grausamer Mann. Er spricht von nichts anderem als der Notwendigkeit, seine Kameraden auszupeitschen, zu schlagen und zu hängen.
str_npc4_personalityclash_speech|{Mein Herr/Meine Dame}. Das Haus von Rolf ist eine der ältesten und respektierlichsten Familien in diesem Teil der Welt, und seine Ursprünge können bis zum Alten Calradischen Reich zurückverfolgt werden. Doch {s11} erweist mir offene Respektlosigkeit und zweifelt die Ursprünge meines Hauses an.
str_npc5_personalityclash_speech|Kann ich Euch einen Moment sprechen, Hauptmann? {s11} scheint mich für einen gewöhnlichen Banditen zu halten, nur weil ich in der Vergangenheit die legitime Kriegsbeute von Karawanen an mich nahm, die durch die Länder meiner Familie zogen.
str_npc6_personalityclash_speech|Bitte um Vergebung, {mein Herr/meine Dame}, aber ich kann meine Zunge nicht länger im Zaume halten. Diese elende Dirne {s11} -- immer, wenn sie mich sieht, zeigt sie mit allen fünf Fingern ihrer Hand auf mich -- so weisen die Bauern das Böse von sich.
str_npc7_personalityclash_speech|Hauptmann, ich habe mich wirklich bemüht, das zotige Geschwätz Eurer Gefolgsleute und ihre schmuddeligen Gewohnheiten zu dulden. Aber der {s11} ist einfach nicht zu ertragen.
str_npc8_personalityclash_speech|Nur dass Ihr's wisst, ich kann diesen dummdreisten Scharlatan {s11} nicht verknusen. Vor ein paar Minuten bemerkte ich gegenüber unseren Gefährten, wie die Bauern dieses Gebiets noch dumpfbackiger und plattstirniger aussehen als üblich, und spekulierte, dass sie sie vielleicht mit Affen Bett und Tisch teilen.
str_npc9_personalityclash_speech|Mein Herr -- {s11} ist ein Aufschneider der niedersten Kaste, ein Mann ohne jedweden Respekt für die Ehre der Frauen. Ich habe es satt, mir dauernd Geschichten von seinen amourösen Eroberungen anhören zu müssen.
str_npc10_personalityclash_speech|Verzeiht, Hauptmann. Ich hasse es, Euch mit solchen Dingen zu behelligen, aber ich wollte Euch wissen lassen, dass ich diesen Rolf, der sich einen Baron schimpft, nicht ausstehen kann.
str_npc11_personalityclash_speech|Bitte um Vergebung, Hauptmann, aber ich kann nicht länger schweigen. Dieser Mann, {s11} -- er hat seinen eigenen Bruder getötet.
str_npc12_personalityclash_speech|Mein Fürst. Das Barbarenweib, {s11}, klagt über Kopfschmerzen -- ein mögliches Symptom überschüssigen Blutes. Ich wollte meine Egel ansetzen.
str_npc13_personalityclash_speech|Hauptmann, ich habe {s11} satt. Er redet von nichts anderem als Ritterlichkeit und Waffentaten.
str_npc14_personalityclash_speech|Hauptmann. Es ist eine Freude, an der Seite von Männern wie {s11} in den Kampf zu gehen.
str_npc15_personalityclash_speech|Verzeiht. Ich hoffe, Ihr vergebt mir, wenn ich Euch sage, dass meiner Meinung nach das Mädchen {s11} eine Gefahr für die Truppe ist. Sie ist eine Wildkatze ohne Respekt für Obrigkeit und die grundlegenden Prinzipien der Militärkunst.
str_npc16_personalityclash_speech|Eh, Hauptmann. Nur damit Ihr's wisst -- irgendwas ist komisch an {s11}. Er kritzelt Seltsames in den Staub und murmelt sich dabei in den Bart.
str_npc1_personalityclash_speech_b|Sie ist ein gewöhnlicher Bandit, genau wie ich, und sie hat kein Recht, mir zu befehlen, mich von ihr weg zu halten, wie sie es gerade tat.
str_npc2_personalityclash_speech_b|Mich interessiert nicht, wie viele Karawanen {s11} ausgeplündert hat, oder plant auszuplündern. Er hat einfach keinen Respekt für ehrlichen Handel.
str_npc3_personalityclash_speech_b|Ich weiß, dass eine Armee keine Kinderstube und strenge Disziplin wichtig ist, aber ich glaube, dass dieser Mensch Grausamkeit um ihrer selbst willen genießt. Ich hoffe, Ihr nehmt es mir nicht krumm.
str_npc4_personalityclash_speech_b|{Mein Herr/Meine Dame}, es sind fürwahr traurige Zeiten, wenn gewöhnliche Leute Bessergestellte einfach so verspotten. Das ist alles.
str_npc5_personalityclash_speech_b|Ich sagte ihm, dass er, wenn der Beruf des Kriegers ihn so sehr bedrückt, doch ein Priester oder ein Bettler werden sollte, denn dann hätte er keine Sorgen mit diesen Dingen. Ich hoffe, Ihr verzeiht mir, dass ich diese Dinge gesagt habe.
str_npc6_personalityclash_speech_b|Ich weiß, dass das von mir begangene Verbrechen eine Schandtat sondershausen war, aber ich will Buße tun, und ich verdiene Besseres, als das Objekt des Aberglaubens einer Hexe zu werden. Ich dachte nur, Ihr solltet das wissen.
str_npc7_personalityclash_speech_b|Mir ist es schnurz, wie er mich am Lagerfeuer nach einer Mahlzeit anstarrt, während er sich in den Zähnen pult. Ich glaube, ich erkenne ihn aus meinen Tagen als Bandit. Er ist simpel und ignorant. Ich will nicht mit solchem Volk reisen.
str_npc8_personalityclash_speech_b|{s11}, diese fleischgewordene Unverfrorenheit, hörte mich und nannte mich ignorant, und einen Wilden, und andere Ausdrücke, die ich nicht wiederholen will. Nur aus reinem Respekt für Euch sah ich davon ab, ihm auf der Stelle die Kehle durchzuschneiden. Ich dachte, ich sollte Euch warnen.
str_npc9_personalityclash_speech_b|Wenn er so weitermacht, werde ich ihm sagen, dass er ein veritabler Halunke ist, und mich nicht entschuldigen, sollten Fäuste fliegen. Das ist alles, {mein Herr/meine Dame}.
str_npc10_personalityclash_speech_b|Er ist bloß ein simpler Brigant, so weit ich das sehen kann. Haus von Rolf -- wer's glaubt, wird selig. Echte Blaublüter sind ja schon schlimm genug, aber solche, die sich als Blaublut ausgeben, sind einfach nicht zu ertragen. Jedenfalls habe ich ihm vor einer Minute wohl etwas in scharfem Ton gesagt. Zumindest schien er sich angegriffen zu fühlen. Ich dachte nur, Ihr solltet das wissen.
str_npc11_personalityclash_speech_b|Er ist ein Mörder des eigenen Blutes, vom Himmel verflucht, und er wird uns Unglück und Kummer bringen, das ist sicher. Ich will ihn nicht in meiner Nähe haben und finde nicht, dass er zu uns gehören sollte. Das ist alles. Es tut mir Leid, Euch zu behelligen.
str_npc12_personalityclash_speech_b|Aber als ich versuchte, sie zur Rede zu stellen, schlug sie mich und klagte mich der Hexerei an. Hauptmann, ich bin es so satt, die Beschwerden eines solch undankbaren und ignoranten Haufens anhören zu müssen.
str_npc13_personalityclash_speech_b|Mutige Taten sind schön und gut, aber es sind nicht die einzigen Ziele, die im Leben der Verfolgung lohnen. Ich persönlich habe noch nie jemandem vertraut, der nicht zumindest einmal betrunken in einem Graben aufgewacht ist oder nicht mal von seiner Geliebten mit dem Pantoffel verprügelt wurde.
str_npc14_personalityclash_speech_b|Er ist ein Berufssoldat, und wenn er auch vielleicht nicht so schnell rennt wie andere, so weiß er doch um die Wichtigkeit, in einer disziplinierten Kampflinie zusammen zu bleiben. Ihr wart weise, ihn in diese Kompanie zu bringen.
str_npc15_personalityclash_speech_b|Und außerdem vermute ich, dass sie ein Dieb ist. Ich ertappte sie, wie sie durch mein Gepäck wühlte und an einigen meiner Zeichnungen herumfingerte, und sie bedrohte mich mit einem Messer, als ich Einspruch erhob. Ein weiser Hauptmann würde sie nicht in seiner Kompanie erlauben.
str_npc16_personalityclash_speech_b|Aus Furcht vor Hexerei fragte ich ihn, und er sagte mir, dass Gören wie ich ihre Nase aus anderer Leut's Angelegenheiten lassen sollten. Also schaute ich in sein Gepäck und fand seltsame Pläne und Diagramme. Ich denke, er ist ein Hexenmeister, {mein Herr/meine Dame}, und wenn ich ihn dabei erwische, wie er mich verhexen will, wird er ein Messer in seiner Gurgel finden.
str_npc1_personalityclash2_speech|Eh – Herr, ich bin kein besonders sensibler Typ, aber ich mochte es nicht besonders, wie {s11} da hinten den verwundeten Feinden die Gurgeln durchschnitt.
str_npc2_personalityclash2_speech|{Mein Herr/Meine Dame}. Wenn Ihr nichts dagegen habt, würde ich lieber nicht in der Nähe von {s11} aufgestellt werden, nach allem, was er mir während des letzten Kampfes sagte.
str_npc3_personalityclash2_speech|{Mein Herr/Meine Dame}. Seit ich mich Eurer Kompanie anschloss, habe ich mich bemüht, wie ein Soldat leben zu lernen und den Kodex des Kriegers in Ehren zu halten. Wenn ich gelegentlich Fehler mache, so hoffe ich, dass sie Vergebung finden.
str_npc4_personalityclash2_speech|{Mein Herr/Meine Dame}. Ich habe ein paar Worte mit {s11} gewechselt, als wir die Schlachtbeute aufteilten. Bitte teilt ihr mit, dass sie, wenn sie mit mir spricht, mich 'Baron' oder vielleicht 'Baron Rolf' oder 'Dero Gnaden' nennen sollte, aber auf keinen Fall einfach 'Rolf.'
str_npc5_personalityclash2_speech|Hauptmann. {s11} sollte man die Zunge herausschneiden.
str_npc6_personalityclash2_speech|Mein Fürst. Habt Ihr {s11} während des letzten Gefechts gesehen? Er verspottet die gefallenen Feinde, wie sie zerschlagen und hilflos da auf dem Schlachtfeld liegen, verhöhnt ihre Herkunft, und ihre Torheit, sich mit uns angelegt zu haben.
str_npc7_personalityclash2_speech|Hauptmann -- ich habe versucht, mich zu erinnern, wo ich {s11} schon einmal gesehen habe - Ihr wisst schon, den, der sich einen Baron nennt. Als ich ihn während des letzten Gefechts in Aktion sah, fiel es mir plötzlich wieder ein. Er ist ein guter Kämpfer, aber auch brutal.
